GeneID	expCompName	USD
811	30100_30101	DD
2665	30100_30101	DD
1808	30100_30101	DD
10691	30100_30101	DD
3726	30100_30101	UU
3105	30100_30101	UU
91754	30100_30101	UU
864	30100_30101	UU
51762	30100_30101	UU
471	30100_30101	DD
53938	30100_30101	UU
56252	30100_30101	DD
6238	30100_30101	DD
51593	30100_30101	DD
2309	30100_30101	DD
8189	30100_30101	S
6598	30100_30101	S
23360	30100_30101	S
55692	30100_30101	S
310	30100_30101	SS
9844	30100_30101	DD
1503	30100_30101	DD
6772	30100_30101	UU
23764	30100_30101	UU
4791	30100_30101	UU
3097	30100_30101	UU
4783	30100_30101	UU
27245	30100_30101	UU
5692	30100_30101	UU
9694	30100_30101	S
134430	30100_30101	DD
10523	30100_30101	DD
83939	30100_30101	DD
4711	30100_30101	S
56916	30100_30101	S
5271	30100_30101	S
79693	30100_30101	S
284106	30100_30101	S
9055	30100_30101	S
11261	30100_30101	S
29781	30100_30101	S
51056	30100_30101	S
80207	30100_30101	S
399512	30100_30101	S
1069	30100_30101	S
55082	30100_30101	SS
7336	30100_30101	SS
5933	30100_30101	SS
689	30100_30101	SS
4008	30100_30101	SS
3659	30100_30101	UU
4209	30100_30101	UU
467	30100_30101	UU
5791	30100_30101	UU
89941	30100_30101	UU
3141	30100_30101	SS
23138	30100_30101	SS
28985	30100_30101	SS
222068	30100_30101	SS
9833	30100_30101	SS
55114	30100_30101	SS
84340	30100_30101	SS
7086	30100_30101	UU
11083	30100_30101	SS
83698	30100_30101	SS
57690	30100_30101	SS
1770	30100_30101	SS
1662	30100_30101	UU
5610	30100_30101	SS
81037	30100_30101	SS
9246	30100_30101	SS
8893	30100_30101	SS
389197	30100_30101	SS
6328	30100_30101	SS
83660	30100_30101	DD
54734	30100_30101	UU
55233	30100_30101	SS
92597	30100_30101	SS
392188	30100_30101	SS
392197	30100_30101	SS
645402	30100_30101	SS
5939	30100_30101	SS
9202	30100_30101	SS
9063	30100_30101	SS
2767	30100_30101	SS
9630	30100_30101	SS
10053	30100_30101	UU
9525	30100_30101	SS
63979	30100_30101	SS
1958	30100_30101	UU
1959	30100_30101	UU
571	30100_30101	UU
3164	30100_30101	UU
60468	30100_30101	UU
10935	30100_30101	UU
3702	30100_30101	UU
59269	30100_30101	UU
2353	30100_30101	UU
9897	30100_30101	UU
50628	30100_30101	UU
118980	30100_30101	UU
3098	30100_30101	UU
5698	30100_30101	UU
6510	30100_30101	UU
10651	30100_30101	UU
51191	30100_30101	UU
201562	30100_30101	UU
545	30100_30101	SS
11194	30100_30101	SS
22837	30100_30101	SS
25983	30100_30101	SS
65065	30100_30101	SS
89777	30100_30101	SS
92399	30100_30101	SS
317	30100_30101	SS
1298	30100_30101	SS
1636	30100_30101	SS
1793	30100_30101	SS
2619	30100_30101	SS
3385	30100_30101	SS
3617	30100_30101	SS
4121	30100_30101	SS
4957	30100_30101	SS
5592	30100_30101	SS
5980	30100_30101	SS
6376	30100_30101	SS
6795	30100_30101	SS
6936	30100_30101	SS
7165	30100_30101	SS
7755	30100_30101	SS
8320	30100_30101	SS
8516	30100_30101	SS
8994	30100_30101	SS
9187	30100_30101	SS
9625	30100_30101	SS
10388	30100_30101	SS
11022	30100_30101	SS
11181	30100_30101	SS
11215	30100_30101	SS
22844	30100_30101	SS
22981	30100_30101	SS
23277	30100_30101	SS
25839	30100_30101	SS
26007	30100_30101	SS
26043	30100_30101	SS
26091	30100_30101	SS
27156	30100_30101	SS
27237	30100_30101	SS
27327	30100_30101	SS
28981	30100_30101	SS
29911	30100_30101	SS
51105	30100_30101	SS
51604	30100_30101	SS
51690	30100_30101	SS
51761	30100_30101	SS
55137	30100_30101	SS
55329	30100_30101	SS
55466	30100_30101	SS
55663	30100_30101	SS
55811	30100_30101	SS
56288	30100_30101	SS
56987	30100_30101	SS
57563	30100_30101	SS
57595	30100_30101	SS
57604	30100_30101	SS
64949	30100_30101	SS
79607	30100_30101	SS
79651	30100_30101	SS
79782	30100_30101	SS
80153	30100_30101	SS
81875	30100_30101	SS
84300	30100_30101	SS
84929	30100_30101	SS
85442	30100_30101	SS
85865	30100_30101	SS
90550	30100_30101	SS
92106	30100_30101	SS
92521	30100_30101	SS
114794	30100_30101	SS
124446	30100_30101	SS
127665	30100_30101	SS
148223	30100_30101	SS
149371	30100_30101	SS
153733	30100_30101	SS
159686	30100_30101	SS
